dgp,seed,ntrain,temperature,n_test,n_chains,n_posterior,gr_posterior_mean,gr_q5,gr_q25,gr_q50,gr_q75,gr_q95,rmse_credible,coverage_credible
1199_BNG_echoMonths,3,200,2.0,1750,8,1000,0.9999400973320007,1.0002038478851318,0.9996629357337952,1.000221610069275,1.0001600980758667,1.0004041194915771,12.164084074948459,0.7383571428571428
1199_BNG_echoMonths,9,10000,1.0,1750,8,1000,1.0252491235733032,1.030043363571167,1.0718584060668945,1.0446549654006958,1.0783191919326782,1.0649927854537964,11.261761093804157,0.3017142857142857
1199_BNG_echoMonths,9,10000,3.0,1750,8,1000,1.003596305847168,1.0123059749603271,1.0096694231033325,1.0215027332305908,1.0037896633148193,1.0364816188812256,11.418652723360056,0.6522857142857142
1199_BNG_echoMonths,9,10000,2.0,1750,8,1000,1.0196337699890137,1.0072392225265503,1.0156095027923584,1.0156551599502563,1.0202257633209229,1.0798594951629639,11.234615252280694,0.44000000000000006
1199_BNG_echoMonths,9,1000,3.0,1750,8,1000,1.001996636390686,1.001531958580017,1.0018233060836792,1.003145694732666,1.0037157535552979,1.0060993432998657,11.905904738016826,0.8064285714285714
1199_BNG_echoMonths,9,1000,2.0,1750,8,1000,1.0001020431518555,1.000247597694397,0.9997110962867737,1.0003252029418945,1.0009865760803223,1.0028495788574219,11.605008489881975,0.6310714285714285
1199_BNG_echoMonths,9,1000,1.0,1750,8,1000,1.0003721714019775,1.0004878044128418,1.0011690855026245,1.0004040002822876,1.0003318786621094,1.0021132230758667,11.578769385898902,0.5025
1199_BNG_echoMonths,9,200,1.0,1750,8,1000,0.9998250007629395,1.0000029802322388,1.0004369020462036,0.9999431371688843,0.9997349977493286,1.0002042055130005,12.155951820034268,0.6528571428571428
1199_BNG_echoMonths,9,200,3.0,1750,8,1000,0.9999744296073914,1.0008801221847534,1.001155972480774,1.0007984638214111,1.0001634359359741,1.001631498336792,12.462742036538092,0.8957857142857142
1199_BNG_echoMonths,9,200,2.0,1750,8,1000,0.9995810389518738,0.9998980760574341,0.9996799230575562,0.9997169971466064,0.9996057152748108,0.9999875426292419,12.190008742403752,0.7566428571428572
1199_BNG_echoMonths,1,200,1.0,1750,8,1000,0.999678373336792,0.9999683499336243,0.9999117255210876,0.9997808933258057,0.9998254776000977,0.9997214078903198,12.099034879799046,0.6027857142857143
1199_BNG_echoMonths,1,200,3.0,1750,8,1000,1.0009742975234985,1.0015969276428223,1.0020943880081177,1.0008900165557861,1.0020644664764404,1.0069595575332642,12.462734652991518,0.8632142857142857
1199_BNG_echoMonths,1,200,2.0,1750,8,1000,0.9998047351837158,0.9998664855957031,0.9996623992919922,0.9998363852500916,1.0000274181365967,1.0020302534103394,12.163094618020315,0.711
1199_BNG_echoMonths,1,1000,2.0,1750,8,1000,1.0001041889190674,1.0013864040374756,1.0003843307495117,0.999728262424469,1.000256896018982,1.002273678779602,11.732022364701528,0.6019285714285714
1199_BNG_echoMonths,1,1000,3.0,1750,8,1000,1.0019296407699585,1.001008152961731,1.0017153024673462,1.0056511163711548,1.0028877258300781,1.0113413333892822,11.983006481902533,0.7891428571428571
1199_BNG_echoMonths,1,1000,1.0,1750,8,1000,1.0002046823501587,1.0005595684051514,1.0014166831970215,1.0004571676254272,1.000722885131836,1.0014742612838745,11.711933828137557,0.45978571428571424
